,TEAM,FROM,TO,URL
13952,Golden State Warriors,2016,2017,/players/v/varejan01.html
13953,Boston Celtics,2013,2013,/players/v/varnaja01.html
13954,Miami Heat,2013,2013,/players/v/varnaja01.html
13955,Chicago Bulls,2014,2014,/players/v/varnaja01.html
13956,Philadelphia 76ers,2014,2014,/players/v/varnaja01.html
13957,Memphis Grizzlies,2011,2011,/players/v/vasqugr01.html
13958,New Orleans Hornets,2012,2013,/players/v/vasqugr01.html
13959,Sacramento Kings,2014,2014,/players/v/vasqugr01.html
13960,Toronto Raptors,2014,2015,/players/v/vasqugr01.html
13961,Milwaukee Bucks,2016,2016,/players/v/vasqugr01.html
13962,Brooklyn Nets,2017,2017,/players/v/vasqugr01.html
13963,San Antonio Spurs,2021,2022,/players/v/vassede01.html
13964,St. Louis Hawks,1963,1966,/players/v/vaughch01.html
13965,Detroit Pistons,1966,1967,/players/v/vaughch01.html
13966,Pittsburgh Pipers,1968,1970,/players/v/vaughch01.html
13967,Minnesota Pipers,1969,1969,/players/v/vaughch01.html
13968,Virginia Squires,1975,1975,/players/v/vaughda01.html
13969,Virginia Squires,1976,1976,/players/v/vaughda01.html
13970,Orlando Magic,1996,1996,/players/v/vaughda02.html
13971,Orlando Magic,1997,1997,/players/v/vaughda02.html
13972,Golden State Warriors,1998,1998,/players/v/vaughda02.html
13973,Chicago Bulls,1998,1998,/players/v/vaughda02.html
13974,New Jersey Nets,1998,1998,/players/v/vaughda02.html
13975,New Jersey Nets,1999,1999,/players/v/vaughda02.html
13976,Utah Jazz,1998,2001,/players/v/vaughja01.html
13977,Atlanta Hawks,2002,2004,/players/v/vaughja01.html
13978,Orlando Magic,2003,2003,/players/v/vaughja01.html
13979,New Jersey Nets,2005,2006,/players/v/vaughja01.html
13980,San Antonio Spurs,2007,2009,/players/v/vaughja01.html
13981,Milwaukee Bucks,2016,2018,/players/v/vaughra01.html
13982,Brooklyn Nets,2018,2018,/players/v/vaughra01.html
13983,Orlando Magic,2018,2018,/players/v/vaughra01.html
13984,Boston Celtics,1947,1947,/players/v/vaughvi01.html
13985,Los Angeles Clippers,1991,1998,/players/v/vaughlo01.html
13986,Detroit Pistons,1999,2000,/players/v/vaughlo01.html
13987,Dallas Mavericks,2001,2001,/players/v/vaughlo01.html
13988,Washington Wizards,2001,2001,/players/v/vaughlo01.html
13989,Dallas Chaparrals,1968,1968,/players/v/vergabo01.html
13990,Denver Rockets,1969,1969,/players/v/vergabo01.html
13991,New York Nets,1969,1969,/players/v/vergabo01.html
13992,Houston Mavericks,1969,1969,/players/v/vergabo01.html
13993,Carolina Cougars,1970,1971,/players/v/vergabo01.html
13994,Carolina Cougars,1972,1972,/players/v/vergabo01.html
13995,Pittsburgh Condors,1972,1972,/players/v/vergabo01.html
13996,Portland Trail Blazers,1974,1974,/players/v/vergabo01.html
13997,Portland Trail Blazers,1982,1984,/players/v/verhope01.html
13998,Kansas City Kings,1985,1985,/players/v/verhope01.html
13999,Golden State Warriors,1986,1986,/players/v/verhope01.html
14000,Indiana Pacers,1987,1987,/players/v/verhope01.html
14001,Washington Wizards,2012,2014,/players/v/veselja01.html
14002,Denver Nuggets,2014,2014,/players/v/veselja01.html
14003,Minnesota Timberwolves,1993,1993,/players/v/vetragu01.html
14004,Dallas Mavericks,1992,1992,/players/v/viannjo01.html
14005,Toronto Raptors,2006,2006,/players/v/villach01.html
14006,Milwaukee Bucks,2007,2009,/players/v/villach01.html
14007,Detroit Pistons,2010,2014,/players/v/villach01.html
14008,Dallas Mavericks,2015,2016,/players/v/villach01.html
14009,Miami Heat,2020,2022,/players/v/vincega01.html
14010,Dallas Mavericks,1982,1986,/players/v/vinceja01.html
14011,Washington Bullets,1987,1987,/players/v/vinceja01.html
14012,Denver Nuggets,1988,1989,/players/v/vinceja01.html
14013,San Antonio Spurs,1989,1989,/players/v/vinceja01.html
14014,Philadelphia 76ers,1990,1990,/players/v/vinceja01.html
14015,Los Angeles Lakers,1990,1990,/players/v/vinceja01.html
14016,Boston Celtics,1986,1987,/players/v/vincesa01.html
14017,Seattle SuperSonics,1988,1988,/players/v/vincesa01.html
14018,Chicago Bulls,1988,1989,/players/v/vincesa01.html
14019,Orlando Magic,1990,1992,/players/v/vincesa01.html
14020,New Orleans/Oklahoma City Hornets,2007,2007,/players/v/vincima01.html
14021,New Orleans Hornets,2008,2008,/players/v/vincima01.html
14022,Atlanta Hawks,1995,1995,/players/v/vinsofr01.html
14023,Seattle SuperSonics,2000,2000,/players/v/vinsofr01.html
14024,Kentucky Colonels,1973,1973,/players/v/virdecl01.html
14025,Cleveland Cavaliers,1990,1990,/players/v/vocega01.html
14026,Indianapolis Olympians,1950,1950,/players/v/volkefl01.html
14027,Denver Nuggets,1950,1950,/players/v/volkefl01.html
14028,Atlanta Hawks,1990,1992,/players/v/volkoal01.html
14029,Tri-Cities Blackhawks,1950,"Cities Blackhawks, 1950",/players/v/vonniwh01.html
14030,Baltimore Bullets,1950,1950,/players/v/vonniwh01.html
14031,Charlotte Hornets,2015,2015,/players/v/vonleno01.html
14032,Portland Trail Blazers,2016,2018,/players/v/vonleno01.html
14033,Chicago Bulls,2018,2018,/players/v/vonleno01.html
14034,New York Knicks,2019,2019,/players/v/vonleno01.html
14035,Minnesota Timberwolves,2020,2020,/players/v/vonleno01.html
14036,Denver Nuggets,2020,2020,/players/v/vonleno01.html
14037,Brooklyn Nets,2021,2021,/players/v/vonleno01.html
14038,Chicago Bulls,2001,2001,/players/v/voskuja01.html
14039,Phoenix Suns,2002,2005,/players/v/voskuja01.html
14040,Charlotte Bobcats,2006,2007,/players/v/voskuja01.html
14041,Milwaukee Bucks,2008,2008,/players/v/voskuja01.html
14042,Toronto Raptors,2009,2009,/players/v/voskuja01.html
14043,Seattle SuperSonics,1982,1986,/players/v/vraneda01.html
14044,Philadelphia 76ers,1987,1988,/players/v/vraneda01.html
14045,Portland Trail Blazers,2004,2004,/players/v/vranesl01.html
14046,Boston Celtics,1991,1991,/players/v/vrankst01.html
14047,Boston Celtics,1992,1992,/players/v/vrankst01.html
14048,Minnesota Timberwolves,1997,1997,/players/v/vrankst01.html
14049,Los Angeles Clippers,1998,1999,/players/v/vrankst01.html
14050,Utah Jazz,1981,1981,/players/v/vromabr01.html
14051,Phoenix Suns,2005,2005,/players/v/vromaja01.html
14052,New Orleans Hornets,2005,2005,/players/v/vromaja01.html
14053,New Orleans/Oklahoma City Hornets,2006,2006,/players/v/vromaja01.html
14054,Philadelphia 76ers,2012,2012,/players/v/vucevni01.html
14055,Orlando Magic,2013,2021,/players/v/vucevni01.html
14056,Chicago Bulls,2021,2022,/players/v/vucevni01.html
14057,Los Angeles Lakers,2005,2011,/players/v/vujacsa01.html
14058,New Jersey Nets,2011,2011,/players/v/vujacsa01.html
14059,Los Angeles Clippers,2014,2014,/players/v/vujacsa01.html
14060,New York Knicks,2016,2017,/players/v/vujacsa01.html
14061,New York Knicks,1947,1947,/players/v/vanbrbu01.html
14062,New York Knicks,1947,1950,/players/v/vanbrbu01.html
14063,Denver Nuggets,1975,1975,/players/v/vanbrja01.html
14064,Virginia Squires,1976,1976,/players/v/vanbrja01.html
14065,Kentucky Colonels,1976,1976,/players/v/vanbrja01.html
14066,New York Nets,1977,1977,/players/v/vanbrja01.html
14067,New Jersey Nets,1978,1982,/players/v/vanbrja01.html
14068,New Jersey Nets,1981,1983,/players/v/vanbrja01.html
14069,Cleveland Cavaliers,2020,2022,/players/w/wadede01.html
14070,Miami Heat,2004,2007,/players/w/wadedw01.html
14071,Miami Heat,2008,2019,/players/w/wadedw01.html
14072,Chicago Bulls,2017,2017,/players/w/wadedw01.html
14073,Cleveland Cavaliers,2018,2018,/players/w/wadedw01.html
14074,Golden State Warriors,1988,1988,/players/w/wadema01.html
14075,Dallas Mavericks,1990,1990,/players/w/wadema01.html
14076,Los Angeles Lakers,2006,2006,/players/w/wafervo01.html
14077,Los Angeles Clippers,2007,2007,/players/w/wafervo01.html
14078,Denver Nuggets,2008,2008,/players/w/wafervo01.html
14079,Portland Trail Blazers,2008,2008,/players/w/wafervo01.html
14080,Houston Rockets,2009,2009,/players/w/wafervo01.html
14081,Boston Celtics,2011,2011,/players/w/wafervo01.html
14082,Orlando Magic,2012,2012,/players/w/wafervo01.html
14083,Fort Wayne Pistons,1950,1950,/players/w/wagercl01.html
14084,Cleveland Cavaliers,2003,2003,/players/w/wagneda02.html
14085,Cleveland Cavaliers,2004,2005,/players/w/wagneda02.html
14086,Golden State Warriors,2007,2007,/players/w/wagneda02.html
14087,Sheboygan Red Skins,1950,1950,/players/w/wagneda01.html
14088,Orlando Magic,2022,2022,/players/w/wagnefr01.html
14089,Los Angeles Lakers,1988,1988,/players/w/wagnemi01.html
14090,Miami Heat,1991,1991,/players/w/wagnemi01.html
14091,Los Angeles Lakers,2019,2019,/players/w/wagnemo01.html
14092,Washington Wizards,2020,2021,/players/w/wagnemo01.html
14093,Boston Celtics,2021,2021,/players/w/wagnemo01.html
14094,Orlando Magic,2021,2022,/players/w/wagnemo01.html
14095,Indiana Pacers,1969,1969,/players/w/wagneph01.html
14096,Phoenix Suns,2022,2022,/players/w/wainris01.html
14097,Cleveland Cavaliers,2013,2015,/players/w/waitedi01.html
14098,Oklahoma City Thunder,2015,2015,/players/w/waitedi01.html
14099,Oklahoma City Thunder,2016,2016,/players/w/waitedi01.html
14100,Miami Heat,2017,2020,/players/w/waitedi01.html
14101,Los Angeles Lakers,2020,2020,/players/w/waitedi01.html
14102,Indiana Pacers,1984,1985,/players/w/waitegr01.html
14103,Houston Rockets,1986,1986,/players/w/waitegr01.html
14104,Chicago Bulls,1987,1988,/players/w/waitegr01.html
14105,Chicago Bulls,1979,1979,/players/w/wakefan01.html
14106,Detroit Pistons,1979,1979,/players/w/wakefan01.html
14107,Utah Jazz,1980,1980,/players/w/wakefan01.html
14108,Phoenix Suns,1970,1974,/players/w/walkne01.html
14109,New Orleans Jazz,1975,1975,/players/w/walkne01.html
14110,New York Knicks,1975,1977,/players/w/walkne01.html
14111,New Orleans Jazz,1977,1977,/players/w/walkean01.html
14112,Boston Celtics,1997,2003,/players/w/walkean02.html
14113,Dallas Mavericks,2004,2004,/players/w/walkean02.html
14114,Atlanta Hawks,2005,2005,/players/w/walkean02.html
14115,Boston Celtics,2005,2005,/players/w/walkean02.html
14116,Miami Heat,2006,2007,/players/w/walkean02.html
14117,Minnesota Timberwolves,2008,2008,/players/w/walkean02.html
14118,Providence Steamrollers,1949,1949,/players/w/walkebr01.html
14119,Boston Celtics,1950,1951,/players/w/walkebr01.html
14120,Baltimore Bullets,1951,1952,/players/w/walkebr01.html
14121,Syracuse Nationals,1963,1963,/players/w/walkech01.html
14122,Philadelphia 76ers,1964,1969,/players/w/walkech01.html
14123,Chicago Bulls,1970,1975,/players/w/walkech01.html
14124,New York Knicks,1984,1986,/players/w/walkeda01.html
14125,Denver Nuggets,1987,1987,/players/w/walkeda01.html
14126,Washington Bullets,1988,1991,/players/w/walkeda01.html
14127,Detroit Pistons,1992,1993,/players/w/walkeda01.html
14128,Chicago Bulls,1993,1993,/players/w/walkeda01.html
14129,Cleveland Cavaliers,1975,1980,/players/w/walkefo01.html
14130,New Jersey Nets,1981,1981,/players/w/walkefo01.html
14131,New Jersey Nets,1982,1984,/players/w/walkefo01.html
14132,New Jersey Nets,1983,1983,/players/w/walkefo01.html
14133,Boston Celtics,2009,2010,/players/w/walkebi01.html
14134,New York Knicks,2010,2012,/players/w/walkebi01.html
14135,Miami Heat,2015,2015,/players/w/walkebi01.html
14136,Chicago Packers,1962,1962,/players/w/walkeho01.html
14137,Detroit Pistons,1968,1972,/players/w/walkeji01.html
14138,Houston Rockets,1973,1974,/players/w/walkeji01.html
14139,Kansas City-Omaha Kings,1974,"Omaha Kings, 1974-1975",/players/w/walkeji01.html
14140,Kansas City Kings,1976,1976,/players/w/walkeji01.html
14141,Charlotte Bobcats,2012,2012,/players/w/walkeke02.html
14142,Charlotte Bobcats,2013,2014,/players/w/walkeke02.html
14143,Charlotte Hornets,2015,2019,/players/w/walkeke02.html
14144,Boston Celtics,2020,2021,/players/w/walkeke02.html
14145,New York Knicks,2022,2022,/players/w/walkeke02.html
14146,New York Knicks,1987,1988,/players/w/walkeke01.html
14147,New York Knicks,1989,1991,/players/w/walkeke01.html
14148,Washington Bullets,1994,1995,/players/w/walkeke01.html
14149,San Antonio Spurs,2019,2022,/players/w/walkelo01.html
14150,Phoenix Suns,2022,2022,/players/w/walkemj01.html
14151,Washington Bullets,1978,1978,/players/w/walkeph01.html
14152,Dallas Mavericks,1997,1999,/players/w/walkesa01.html
14153,San Antonio Spurs,2000,2001,/players/w/walkesa01.html
14154,Los Angeles Lakers,2002,2003,/players/w/walkesa01.html
14155,Miami Heat,2004,2004,/players/w/walkesa01.html
14156,Washington Wizards,2005,2005,/players/w/walkesa01.html
14157,Indiana Pacers,2006,2006,/players/w/walkesa01.html
14158,Portland Trail Blazers,1977,1978,/players/w/walkewa01.html
14159,Seattle SuperSonics,1978,1982,/players/w/walkewa01.html
14160,Houston Rockets,1983,1984,/players/w/walkewa01.html
14161,Washington Wizards,2011,2011,/players/w/walljo01.html
14162,Washington Wizards,2012,2019,/players/w/walljo01.html
14163,Houston Rockets,2021,2021,/players/w/walljo01.html
14164,Washington Bullets,1997,1997,/players/w/wallabe01.html
14165,Washington Wizards,1998,1999,/players/w/wallabe01.html
14166,Orlando Magic,2000,2000,/players/w/wallabe01.html
14167,Detroit Pistons,2001,2001,/players/w/wallabe01.html
14168,Detroit Pistons,2002,2006,/players/w/wallabe01.html
14169,Chicago Bulls,2007,2008,/players/w/wallabe01.html
14170,Cleveland Cavaliers,2008,2009,/players/w/wallabe01.html
14171,Detroit Pistons,2010,2012,/players/w/wallabe01.html
14172,Sacramento Kings,2002,2004,/players/w/wallage01.html
14173,Charlotte Bobcats,2005,2007,/players/w/wallage01.html
14174,Charlotte Bobcats,2008,2011,/players/w/wallage01.html
14175,Portland Trail Blazers,2011,2012,/players/w/wallage01.html
14176,New Jersey Nets,2012,2012,/players/w/wallage01.html
14177,Brooklyn Nets,2013,2013,/players/w/wallage01.html
14178,Boston Celtics,2014,2015,/players/w/wallage01.html
14179,New York Knicks,1997,2000,/players/w/wallajo01.html
14180,Toronto Raptors,1998,1999,/players/w/wallajo01.html
14181,Detroit Pistons,2001,2001,/players/w/wallajo01.html
14182,Phoenix Suns,2002,2002,/players/w/wallajo01.html
14183,Miami Heat,2004,2004,/players/w/wallajo01.html
14184,Washington Bullets,1996,1996,/players/w/wallara01.html
14185,Portland Trail Blazers,1997,2004,/players/w/wallara01.html
14186,Atlanta Hawks,2004,2004,/players/w/wallara01.html
14187,Detroit Pistons,2004,2009,/players/w/wallara01.html
14188,Detroit Pistons,2005,2008,/players/w/wallara01.html
14189,Boston Celtics,2010,2010,/players/w/wallara01.html
14190,New York Knicks,2013,2013,/players/w/wallara01.html
14191,Boston Celtics,1947,1947,/players/w/wallare01.html
14192,Toronto Huskies,1947,1947,/players/w/wallare01.html
14193,Toronto Huskies,1947,1947,/players/w/wallare01.html
14194,Los Angeles Clippers,2018,2018,/players/w/wallaty01.html
14195,Los Angeles Clippers,2019,2019,/players/w/wallaty01.html
14196,Atlanta Hawks,2020,2020,/players/w/wallaty01.html
14197,New Orleans Pelicans,2022,2022,/players/w/wallaty01.html
14198,Atlanta Hawks,1969,1969,/players/w/walledw01.html
14199,Atlanta Hawks,1969,1969,/players/w/walledw01.html
14200,Denver Rockets,1970,1970,/players/w/walledw01.html
14201,Denver Rockets,1972,1972,/players/w/walledw01.html
14202,New Jersey Nets,1988,1988,/players/w/walleja01.html
14203,Philadelphia Warriors,1958,1958,/players/w/walshji01.html
14204,Miami Heat,2006,2006,/players/w/walshma01.html
14205,New Jersey Nets,1994,1996,/players/w/waltere01.html
14206,Philadelphia 76ers,1996,1997,/players/w/waltere01.html
14207,Philadelphia 76ers,1998,1998,/players/w/waltere01.html
14208,Miami Heat,1998,2000,/players/w/waltere01.html
14209,Minneapolis Lakers,1950,1950,/players/w/walthpa01.html
14210,Indianapolis Olympians,1950,1953,/players/w/walthpa01.html
14211,Philadelphia Warriors,1954,1954,/players/w/walthpa01.html
14212,Fort Wayne Pistons,1955,1955,/players/w/walthpa01.html
14213,Milwaukee Hawks,1954,1954,/players/w/walthis01.html
14214,Portland Trail Blazers,1975,1978,/players/w/waltobi01.html
14215,San Diego Clippers,1980,1983,/players/w/waltobi01.html
14216,San Diego Clippers,1984,1984,/players/w/waltobi01.html
14217,Los Angeles Clippers,1985,1985,/players/w/waltobi01.html
14218,Boston Celtics,1986,1987,/players/w/waltobi01.html
14219,Miami Heat,2018,2018,/players/w/waltode01.html
14220,Los Angeles Clippers,2020,2020,/players/w/waltode01.html
14221,Detroit Pistons,2020,2020,/players/w/waltode01.html
14222,Detroit Pistons,2022,2022,/players/w/waltode01.html
14223,Milwaukee Bucks,1977,1980,/players/w/waltoll01.html
14224,Kansas City Kings,1981,1981,/players/w/waltoll01.html
14225,Kansas City Kings,1981,1981,/players/w/waltoll01.html
14226,Los Angeles Lakers,2004,2012,/players/w/waltolu01.html
14227,Cleveland Cavaliers,2012,2012,/players/w/waltolu01.html
14228,Cleveland Cavaliers,2013,2013,/players/w/waltolu01.html
14229,Boston Celtics,2019,2020,/players/w/wanambr01.html
14230,Golden State Warriors,2021,2021,/players/w/wanambr01.html
14231,Charlotte Hornets,2021,2021,/players/w/wanambr01.html
14232,Indiana Pacers,2022,2022,/players/w/wanambr01.html
14233,Washington Wizards,2022,2022,/players/w/wanambr01.html
14234,Rochester Royals,1949,1955,/players/w/wanzebo01.html
14235,Rochester Royals,1956,1957,/players/w/wanzebo01.html
14236,Philadelphia 76ers,1975,1975,/players/w/warbipe01.html
14237,New York Knicks,1995,2004,/players/w/wardch01.html
14238,San Antonio Spurs,2004,2004,/players/w/wardch01.html
14239,Houston Rockets,2005,2005,/players/w/wardch01.html
14240,St. Louis Hawks,1964,1964,/players/w/wardge01.html
14241,Boston Celtics,1965,1965,/players/w/wardge01.html
14242,Philadelphia 76ers,1966,1966,/players/w/wardge01.html
14243,Chicago Bulls,1967,1967,/players/w/wardge01.html
14244,San Antonio Spurs,1976,1976,/players/w/wardhe01.html
14245,San Antonio Spurs,1977,1977,/players/w/wardhe01.html
14246,Philadelphia 76ers,2014,2014,/players/w/wareca01.html
14247,Cincinnati Royals,1967,1967,/players/w/wareji01.html
14248,San Diego Rockets,1968,1968,/players/w/wareji01.html
14249,Syracuse Nationals,1963,1963,/players/w/warlebe01.html
14250,Philadelphia 76ers,1964,1966,/players/w/warlebe01.html
14251,Baltimore Bullets,1966,1967,/players/w/warlebe01.html
14252,Anaheim Amigos,1968,1968,/players/w/warlebe01.html
14253,Los Angeles Stars,1969,1969,/players/w/warlebe01.html
14254,Denver Rockets,1970,1970,/players/w/warlebe01.html
14255,Detroit Pistons,1966,1966,/players/w/warlibo01.html
14256,San Francisco Warriors,1967,1968,/players/w/warlibo01.html
14257,Milwaukee Bucks,1969,1969,/players/w/warlibo01.html
14258,Phoenix Suns,1969,1969,/players/w/warlibo01.html
14259,Los Angeles Stars,1970,1970,/players/w/warlibo01.html
14260,Buffalo Braves,1971,1971,/players/w/warneco01.html
14261,Buffalo Braves,1972,1973,/players/w/warneco01.html
14262,Cleveland Cavaliers,1973,1974,/players/w/warneco01.html
14263,Milwaukee Bucks,1974,1975,/players/w/warneco01.html
14264,Los Angeles Lakers,1976,1977,/players/w/warneco01.html
14265,Los Angeles Lakers,1977,1977,/players/w/warneco01.html
14266,Dallas Mavericks,2018,2018,/players/w/warneja01.html
14267,Los Angeles Stars,1969,1970,/players/w/warrebo01.html
14268,Memphis Pros,1971,1972,/players/w/warrebo01.html
14269,Carolina Cougars,1972,1973,/players/w/warrebo01.html
14270,Dallas Chaparrals,1973,1973,/players/w/warrebo01.html
14271,Utah Stars,1973,1974,/players/w/warrebo01.html
14272,San Antonio Spurs,1974,1975,/players/w/warrebo01.html
14273,San Diego Sails,1976,1976,/players/w/warrebo01.html
14274,New York Knicks,1970,1970,/players/w/warrejo01.html
14275,Cleveland Cavaliers,1971,1974,/players/w/warrejo01.html
14276,Phoenix Suns,2015,2019,/players/w/warretj01.html
14277,Indiana Pacers,2020,2021,/players/w/warretj01.html
14278,Los Angeles Clippers,2011,2011,/players/w/warrewi01.html
14279,Washington Bullets,1983,1984,/players/w/warribr01.html
14280,Los Angeles Clippers,1985,1985,/players/w/warribr01.html
14281,Milwaukee Bucks,1986,1986,/players/w/warribr01.html
14282,Indiana Pacers,1986,1986,/players/w/warribr01.html
14283,Memphis Grizzlies,2006,2009,/players/w/warriha01.html
14284,Milwaukee Bucks,2010,2010,/players/w/warriha01.html
14285,Chicago Bulls,2010,2010,/players/w/warriha01.html
14286,Phoenix Suns,2011,2012,/players/w/warriha01.html
14287,New Orleans Hornets,2013,2013,/players/w/warriha01.html
14288,Charlotte Bobcats,2013,2013,/players/w/warriha01.html
14289,Golden State Warriors,1987,1988,/players/w/washbch01.html
14290,Atlanta Hawks,1988,1988,/players/w/washbch01.html
14291,Memphis Grizzlies,2019,2019,/players/w/washbju01.html
14292,Kentucky Colonels,1970,1970,/players/w/washibo01.html
14293,Cleveland Cavaliers,1971,1972,/players/w/washibo01.html
14294,San Antonio Spurs,2008,2008,/players/w/washida01.html
14295,Denver Nuggets,1975,1975,/players/w/washido01.html
14296,Utah Stars,1976,1976,/players/w/washido01.html
14297,New Jersey Nets,1988,1988,/players/w/washidu01.html
14298,Los Angeles Clippers,1993,1993,/players/w/washidu01.html
14299,Indiana Pacers,2022,2022,/players/w/washidu02.html
14300,Denver Nuggets,1998,1999,/players/w/washier01.html
14301,St. Louis Hawks,1966,1966,/players/w/washiji01.html
14302,Chicago Bulls,1967,1969,/players/w/washiji01.html
14303,Philadelphia 76ers,1970,1972,/players/w/washiji01.html
14304,Atlanta Hawks,1972,1972,/players/w/washiji01.html
14305,Atlanta Hawks,1973,1975,/players/w/washiji01.html
14306,Buffalo Braves,1975,1976,/players/w/washiji01.html
14307,Los Angeles Lakers,1974,1978,/players/w/washike01.html
14308,Boston Celtics,1978,1978,/players/w/washike01.html
14309,San Diego Clippers,1979,1979,/players/w/washike01.html
14310,Portland Trail Blazers,1980,1982,/players/w/washike01.html
14311,Golden State Warriors,1988,1988,/players/w/washike01.html
14312,Charlotte Hornets,2020,2022,/players/w/washipj01.html
14313,New Jersey Nets,1987,1988,/players/w/washipe01.html
14314,Miami Heat,1989,1989,/players/w/washipe01.html
14315,Kansas City Kings,1977,1979,/players/w/washiri01.html
14316,Milwaukee Bucks,1980,1980,/players/w/washiri01.html
14317,Dallas Mavericks,1981,1981,/players/w/washiri01.html
14318,Cleveland Cavaliers,1981,1981,/players/w/washiri01.html
14319,Cleveland Cavaliers,1982,1982,/players/w/washiri01.html
14320,Washington Bullets,1975,1975,/players/w/washist01.html
14321,Pittsburgh Pipers,1968,1970,/players/w/washitr01.html
14322,Minnesota Pipers,1969,1969,/players/w/washitr01.html
14323,Los Angeles Stars,1970,1970,/players/w/washitr01.html
14324,The Floridians,1971,1971,/players/w/washitr01.html
14325,New York Nets,1972,1972,/players/w/washitr01.html
14326,New York Nets,1973,1973,/players/w/washitr01.html
14327,Philadelphia 76ers,1978,1978,/players/w/washiwi01.html
14328,New Jersey Nets,1978,1979,/players/w/washiwi01.html
14329,Memphis Grizzlies,2019,2019,/players/w/watanyu01.html
14330,Memphis Grizzlies,2020,2020,/players/w/watanyu01.html
14331,Toronto Raptors,2021,2022,/players/w/watanyu01.html
14332,Oklahoma City Thunder,2022,2022,/players/w/waterli01.html
14333,Boston Celtics,2020,2021,/players/w/watertr01.html
14334,Toronto Raptors,2022,2022,/players/w/watertr01.html
14335,Washington Wizards,2022,2022,/players/w/watertr01.html
14336,Portland Trail Blazers,2022,2022,/players/w/watfotr01.html
14337,Sacramento Kings,2008,2008,/players/w/watkida01.html
14338,New Orleans Hornets,2012,2012,/players/w/watkida01.html
14339,Milwaukee Hawks,1955,1955,/players/w/watsobo01.html
14340,Golden State Warriors,2008,2008,/players/w/watsocj01.html
14341,Golden State Warriors,2008,2010,/players/w/watsocj01.html
14342,Chicago Bulls,2011,2011,/players/w/watsocj01.html
14343,Chicago Bulls,2012,2012,/players/w/watsocj01.html
14344,Brooklyn Nets,2013,2013,/players/w/watsocj01.html
14345,Indiana Pacers,2014,2015,/players/w/watsocj01.html
14346,Orlando Magic,2016,2017,/players/w/watsocj01.html
14347,Seattle SuperSonics,2002,2008,/players/w/watsoea01.html
14348,Memphis Grizzlies,2003,2004,/players/w/watsoea01.html
14349,Memphis Grizzlies,2005,2005,/players/w/watsoea01.html
14350,Denver Nuggets,2006,2006,/players/w/watsoea01.html
14351,Oklahoma City Thunder,2009,2009,/players/w/watsoea01.html
14352,Indiana Pacers,2010,2010,/players/w/watsoea01.html
14353,Utah Jazz,2011,2013,/players/w/watsoea01.html
14354,Portland Trail Blazers,2014,2014,/players/w/watsoea01.html
14355,Utah Jazz,1995,1996,/players/w/watsoja01.html
14356,Utah Jazz,1997,1997,/players/w/watsoja01.html
14357,Dallas Mavericks,1997,1997,/players/w/watsoja01.html
14358,Miami Heat,1999,1999,/players/w/watsoja01.html
14359,Atlanta Hawks,2020,2020,/players/w/watsopa01.html
14360,Toronto Raptors,2020,2020,/players/w/watsopa01.html
14361,Toronto Raptors,2021,2021,/players/w/watsopa01.html
14362,Oklahoma City Thunder,2022,2022,/players/w/watsopa01.html
14363,Boston Celtics,1966,1967,/players/w/wattsro01.html
14364,Pittsburgh Condors,1971,1971,/players/w/wattssa01.html
14365,Seattle SuperSonics,1974,1978,/players/w/wattssl01.html
14366,New Orleans Jazz,1978,1978,/players/w/wattssl01.html
14367,New Orleans Jazz,1978,1978,/players/w/wattssl01.html
14368,Houston Rockets,1979,1979,/players/w/wattssl01.html
14369,Philadelphia 76ers,2013,2013,/players/w/waynsma01.html
14370,Los Angeles Clippers,2013,2013,/players/w/waynsma01.html
14371,Los Angeles Clippers,2014,2014,/players/w/waynsma01.html
14372,Sacramento Kings,2015,2015,/players/w/wearda01.html
14373,New York Knicks,2015,2015,/players/w/weartr01.html
14374,Los Angeles Lakers,2018,2018,/players/w/weartr01.html
14375,Philadelphia 76ers,1993,1993,/players/w/weathcl01.html
14376,Philadelphia 76ers,1994,1997,/players/w/weathcl01.html
14377,Philadelphia 76ers,1998,1998,/players/w/weathcl01.html
14378,Golden State Warriors,1998,1998,/players/w/weathcl01.html
14379,Miami Heat,1999,2000,/players/w/weathcl01.html
14380,Cleveland Cavaliers,2001,2001,/players/w/weathcl01.html
14381,New York Knicks,2002,2004,/players/w/weathcl01.html
14382,Houston Rockets,2004,2005,/players/w/weathcl01.html
14383,Capital Bullets,1974,1974,/players/w/weathni01.html
14384,Washington Bullets,1975,1977,/players/w/weathni01.html
14385,Seattle SuperSonics,1977,1977,/players/w/weathni01.html
14386,Chicago Bulls,1978,1978,/players/w/weathni01.html
14387,San Diego Clippers,1979,1980,/players/w/weathni01.html
14388,San Antonio Spurs,2020,2021,/players/w/weathqu01.html
14389,Golden State Warriors,2022,2022,/players/w/weathqu01.html
14390,Oklahoma City Thunder,2009,2010,/players/w/weaveky01.html
14391,Utah Jazz,2011,2011,/players/w/weaveky01.html
14392,Brooklyn Nets,2018,2018,/players/w/webbja01.html
14393,Milwaukee Bucks,1971,1972,/players/w/webbje01.html
14394,Phoenix Suns,1972,1972,/players/w/webbje01.html
14395,Boston Celtics,1993,1993,/players/w/webbma01.html
14396,Atlanta Hawks,1986,1991,/players/w/webbsp01.html
14397,Sacramento Kings,1992,1994,/players/w/webbsp01.html
14398,Sacramento Kings,1995,1995,/players/w/webbsp01.html
